username,repo_name,stars,repo_url
public-apis,public-apis,204000,https://github.com/public-apis/public-apis
neovim,neovim,56500,https://github.com/neovim/neovim
tiangolo,fastapi,48000,https://github.com/tiangolo/fastapi
strapi,strapi,46700,https://github.com/strapi/strapi
hoppscotch,hoppscotch,45500,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,34400,https://github.com/slatedocs/slate
meilisearch,meilisearch,28300,https://github.com/meilisearch/meilisearch
hasura,graphql-engine,27600,https://github.com/hasura/graphql-engine
ccxt,ccxt,25300,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25100,https://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24700,https://github.com/YMFE/yapi
encode,django-rest-framework,23900,https://github.com/encode/django-rest-framework
httpie,httpie,22900,https://github.com/httpie/httpie
littlecodersh,ItChat,22300,https://github.com/littlecodersh/ItChat
Kong,insomnia,21900,https://github.com/Kong/insomnia
paularmstrong,normalizr,20900,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20300,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19900,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17800,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17500,https://github.com/shieldfy/API-Security-Checklist
directus,directus,17100,https://github.com/directus/directus
ChainSafe,web3.js,15700,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,14200,https://github.com/learn-anything/learn-anything
youfou,wxpy,13300,https://github.com/youfou/wxpy
OpenAPITools,openapi-generator,13100,https://github.com/OpenAPITools/openapi-generator
jsdoc,jsdoc,13100,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,13000,https://github.com/BrainJS/brain.js
fangzesheng,free-api,12500,https://github.com/fangzesheng/free-api
go-chi,chi,11900,https://github.com/go-chi/chi
graphile,postgraphile,11500,https://github.com/graphile/postgraphile
