username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10800,https://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10500,https://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10200,https://github.com/bitwarden/server
abpframework,abp,8400,https://github.com/abpframework/abp
nopSolutions,nopCommerce,7400,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6400,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5300,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,5300,https://github.com/thangchung/clean-code-dotnet
smartstore,SmartStoreNET,2500,https://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,https://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2300,https://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2200,https://github.com/serenity-is/Serenity
loic-sharma,BaGet,2100,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1900,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,https://github.com/MarimerLLC/csla
riganti,dotvvm,619,https://github.com/riganti/dotvvm
antonioCoco,SharPyShell,619,https://github.com/antonioCoco/SharPyShell
cornflourblue,aspnet-core-3-jwt-authentication-api,616,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,575,https://github.com/json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,462,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,450,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,434,https://github.com/YAFNET/YAFNET
IvanJosipovic,BlazorTable,412,https://github.com/IvanJosipovic/BlazorTable
SapphireDb,SapphireDb,385,https://github.com/SapphireDb/SapphireDb
Maarten88,rrod,379,https://github.com/Maarten88/rrod
Taritsyn,WebMarkupMin,377,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,374,https://github.com/chsakell/aspnet-core-identity
smartstore,Smartstore,366,https://github.com/smartstore/Smartstore
