username,repo_name,stars,repo_url
ljianshu,Blog,7200,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7100,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5400,https://github.com/developit/unfetch
jquery-form,form,5100,https://github.com/jquery-form/form
olifolkerd,tabulator,4800,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4300,https://github.com/Studio-42/elFinder
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://github.com/elbywan/wretch
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2100,https://github.com/wendux/ajax-hook
yisainan,web-interview,2100,https://github.com/yisainan/web-interview
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
nette,tracy,1500,https://github.com/nette/tracy
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise
loadingio,css-spinner,1400,https://github.com/loadingio/css-spinner
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
MoOx,pjax,1300,https://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1300,https://github.com/codingforentrepreneurs/eCommerce
k8w,tsrpc,1200,https://github.com/k8w/tsrpc
danielm,uploader,1100,https://github.com/danielm/uploader
proyecto26,RestClient,964,https://github.com/proyecto26/RestClient
swlib,saber,964,https://github.com/swlib/saber
opensource-socialnetwork,opensource-socialnetwork,880,https://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,864,https://github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,711,https://github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,613,https://github.com/csxiaoyaojianxian/JavaScriptStudy
karosLi,KKJSBridge,595,https://github.com/karosLi/KKJSBridge
