username,repo_name,stars,repo_url
jwasham,coding-interview-university,228000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,155000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,147000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,141000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,75700,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,57900,https://github.com/kdn251/interviews
azl397985856,leetcode,48900,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,47100,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,38500,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,30200,https://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26800,https://github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,26200,https://github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,25900,https://github.com/donnemartin/interactive-coding-challenges
huihut,interview,25200,https://github.com/huihut/interview
TheAlgorithms,JavaScript,21500,https://github.com/TheAlgorithms/JavaScript
keon,algorithms,21400,https://github.com/keon/algorithms
TheAlgorithms,C-Plus-Plus,20400,https://github.com/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19500,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,19500,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15800,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13600,https://github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,13200,https://github.com/williamfiset/Algorithms
OpenGenus,cosmos,13100,https://github.com/OpenGenus/cosmos
halfrost,Halfrost-Field,11400,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,10000,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8400,https://github.com/Blankj/awesome-java-leetcode
gyoogle,tech-interview-for-developer,7900,https://github.com/gyoogle/tech-interview-for-developer
jeffgerickson,algorithms,7600,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7500,https://github.com/mgechev/javascript-algorithms
