username,repo_name,stars,repo_url
amphp,amp,3700,https://github.com/amphp/amp
danog,MadelineProto,2000,https://github.com/danog/MadelineProto
amphp,http-server,1200,https://github.com/amphp/http-server
unreal4u,telegram-api,727,https://github.com/unreal4u/telegram-api
amphp,http-client,621,https://github.com/amphp/http-client
amphp,parallel,593,https://github.com/amphp/parallel
php-service-bus,service-bus,325,https://github.com/php-service-bus/service-bus
amphp,byte-stream,299,https://github.com/amphp/byte-stream
amphp,mysql,282,https://github.com/amphp/mysql
amphp,parallel-functions,229,https://github.com/amphp/parallel-functions
amphp,process,187,https://github.com/amphp/process
amphp,socket,168,https://github.com/amphp/socket
amphp,dns,123,https://github.com/amphp/dns
amphp,redis,129,https://github.com/amphp/redis
amphp,sync,116,https://github.com/amphp/sync
kelunik,acme,113,https://github.com/kelunik/acme
amphp,websocket-client,106,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,92,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,81,https://github.com/amphp/websocket-server
amphp,serialization,80,https://github.com/amphp/serialization
jolicode,asynit,74,https://github.com/jolicode/asynit
amphp,windows-registry,74,https://github.com/amphp/windows-registry
amphp,hpack,73,https://github.com/amphp/hpack
amphp,file,74,https://github.com/amphp/file
amphp,cache,78,https://github.com/amphp/cache
amphp,postgres,65,https://github.com/amphp/postgres
amphp,beanstalk,59,https://github.com/amphp/beanstalk
phpinnacle,ridge,47,https://github.com/phpinnacle/ridge
amphp,aerys,45,https://github.com/amphp/aerys
wind-framework,wind-framework,42,https://github.com/wind-framework/wind-framework
