username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,94700,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,68500,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,54200,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46300,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,43400,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42600,https://github.com/square/okhttp
Solido,awesome-flutter,42000,https://github.com/Solido/awesome-flutter
android,architecture-samples,41300,https://github.com/android/architecture-samples
square,retrofit,40300,https://github.com/square/retrofit
dcloudio,uni-app,36900,https://github.com/dcloudio/uni-app
fastlane,fastlane,35600,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35400,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33100,https://github.com/airbnb/lottie-android
bumptech,glide,32800,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32700,https://github.com/shadowsocks/shadowsocks-android
Blankj,AndroidUtilCode,31200,https://github.com/Blankj/AndroidUtilCode
skylot,jadx,31100,https://github.com/skylot/jadx
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
laurent22,joplin,31000,https://github.com/laurent22/joplin
Trinea,android-open-project,31000,https://github.com/Trinea/android-open-project
bilibili,ijkplayer,30600,https://github.com/bilibili/ijkplayer
zxing,zxing,29900,https://github.com/zxing/zxing
codepath,android_guides,27900,https://github.com/codepath/android_guides
square,leakcanary,27700,https://github.com/square/leakcanary
alibaba,fastjson,24900,https://github.com/alibaba/fastjson
appwrite,appwrite,24000,https://github.com/appwrite/appwrite
scwang90,SmartRefreshLayout,23700,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,23000,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22600,https://github.com/react-native-elements/react-native-elements
