username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,94700,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,83100,https://github.com/angular/angular
storybookjs,storybook,73200,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,50600,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47800,https://github.com/ionic-team/ionic-framework
prettier,prettier,43500,https://github.com/prettier/prettier
SheetJS,sheetjs,30900,https://github.com/SheetJS/sheetjs
angular,angular-cli,25600,https://github.com/angular/angular-cli
angular,components,22900,https://github.com/angular/components
NativeScript,NativeScript,21500,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19800,https://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,18600,https://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17800,https://github.com/pubkey/rxdb
handsontable,handsontable,16900,https://github.com/handsontable/handsontable
teambit,bit,15600,https://github.com/teambit/bit
sweetalert2,sweetalert2,14800,https://github.com/sweetalert2/sweetalert2
nrwl,nx,13900,https://github.com/nrwl/nx
linnovate,mean,12200,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11700,https://github.com/codesandbox/codesandbox-client
sudheerj,javascript-interview-questions,11300,https://github.com/sudheerj/javascript-interview-questions
Chocobozzz,PeerTube,10900,https://github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,https://github.com/PatrickJS/angular-starter
wailsapp,wails,10300,https://github.com/wailsapp/wails
jasontaylordev,CleanArchitecture,9300,https://github.com/jasontaylordev/CleanArchitecture
dotansimha,graphql-code-generator,9100,https://github.com/dotansimha/graphql-code-generator
ag-grid,ag-grid,9000,https://github.com/ag-grid/ag-grid
angular,protractor,8800,https://github.com/angular/protractor
OnsenUI,OnsenUI,8600,https://github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8400,https://github.com/PatrickJS/awesome-angular
abpframework,abp,8400,https://github.com/abpframework/abp
