username,repo_name,stars,repo_url
ansible,ansible,54100,https://github.com/ansible/ansible
bregman-arie,devops-exercises,28100,https://github.com/bregman-arie/devops-exercises
trailofbits,algo,25900,https://github.com/trailofbits/algo
StreisandEffect,streisand,22800,https://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,16300,https://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12700,https://github.com/kubernetes-sigs/kubespray
ansible,awx,11200,https://github.com/ansible/awx
easzlab,kubeasz,8400,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6000,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,6000,https://github.com/khuedoan/homelab
ansible-semaphore,semaphore,5100,https://github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,5100,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4700,https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4600,https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4400,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3800,https://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3500,https://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,3400,https://github.com/ansible-community/molecule
werf,werf,3300,https://github.com/werf/werf
opendevops-cn,opendevops,3200,https://github.com/opendevops-cn/opendevops
litmuschaos,litmus,3100,https://github.com/litmuschaos/litmus
welliamcao,OpsManage,3000,https://github.com/welliamcao/OpsManage
ansible,ansible-lint,2900,https://github.com/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2800,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2800,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2400,https://github.com/roots/trellis
ansistrano,deploy,2200,https://github.com/ansistrano/deploy
fboender,ansible-cmdb,2100,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2100,https://github.com/pytest-dev/pytest-testinfra
openshift,openshift-ansible,2100,https://github.com/openshift/openshift-ansible
