username,repo_name,stars,repo_url
sindresorhus,awesome,213000,https://github.com/sindresorhus/awesome
vinta,awesome-python,136000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,97500,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,85200,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,74300,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,63300,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,57900,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,54200,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,51900,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,48500,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,45900,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43400,https://github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,42200,https://github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,42000,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,41800,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,40100,https://github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,39900,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,39100,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,36200,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,34700,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,33000,https://github.com/akullpp/awesome-java
brillout,awesome-react-components,31600,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,31400,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,31200,https://github.com/dkhamsing/open-source-ios-apps
rust-unofficial,awesome-rust,27500,https://github.com/rust-unofficial/awesome-rust
ziadoz,awesome-php,27000,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,26000,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,25600,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,24300,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,23100,https://github.com/sindresorhus/awesome-electron
