username,repo_name,stars,repo_url
bregman-arie,devops-exercises,28100,https://github.com/bregman-arie/devops-exercises
microsoft,recommenders,13700,https://github.com/microsoft/recommenders
pulumi,pulumi,13300,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,13000,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,12000,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,10400,https://github.com/mozilla/sops
caprover,caprover,9000,https://github.com/caprover/caprover
microsoft,computervision-recipes,8600,https://github.com/microsoft/computervision-recipes
google,go-cloud,8500,https://github.com/google/go-cloud
infracost,infracost,7600,https://github.com/infracost/infracost
microsoft,azuredatastudio,6900,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6300,https://github.com/node-formidable/formidable
midwayjs,midway,5900,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5300,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,4900,https://github.com/aquasecurity/tfsec
budtmo,docker-android,4800,https://github.com/budtmo/docker-android
nccgroup,ScoutSuite,4500,https://github.com/nccgroup/ScoutSuite
bridgecrewio,checkov,4500,https://github.com/bridgecrewio/checkov
cloud-custodian,cloud-custodian,4300,https://github.com/cloud-custodian/cloud-custodian
Azure,autorest,3900,https://github.com/Azure/autorest
Azure,azure-sdk-for-net,3900,https://github.com/Azure/azure-sdk-for-net
simov,grant,3700,https://github.com/simov/grant
hashicorp,terraform-provider-azurerm,3500,https://github.com/hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3400,https://github.com/microsoft/SynapseML
Azure,MachineLearningNotebooks,3300,https://github.com/Azure/MachineLearningNotebooks
Azure,azure-powershell,3200,https://github.com/Azure/azure-powershell
sottlmarek,DevSecOps,3200,https://github.com/sottlmarek/DevSecOps
Azure,azure-cli,3200,https://github.com/Azure/azure-cli
learntocloud,learn-to-cloud,3000,https://github.com/learntocloud/learn-to-cloud
Azure,azure-sdk-for-python,2900,https://github.com/Azure/azure-sdk-for-python
