username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,109000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,60000,https://github.com/nvm-sh/nvm
junegunn,fzf,46100,https://github.com/junegunn/fzf
google,zx,33500,https://github.com/google/zx
dylanaraps,pure-bash-bible,31500,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,29800,https://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29500,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,28100,https://github.com/mathiasbynens/dotfiles
starship,starship,27700,https://github.com/starship/starship
acmesh-official,acme.sh,27600,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24300,https://github.com/alebcay/awesome-shell
withfig,autocomplete,19600,https://github.com/withfig/autocomplete
jaywcjlove,linux-command,19400,https://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,15800,https://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15500,https://github.com/Nyr/openvpn-install
rbenv,rbenv,14300,https://github.com/rbenv/rbenv
powerline,powerline,13400,https://github.com/powerline/powerline
shelljs,shelljs,13400,https://github.com/shelljs/shelljs
Bash-it,bash-it,13100,https://github.com/Bash-it/bash-it
faressoft,terminalizer,12800,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12700,https://github.com/jessfraz/dockerfiles
denisidoro,navi,11500,https://github.com/denisidoro/navi
carlospolop,PEASS-ng,9800,https://github.com/carlospolop/PEASS-ng
codota,TabNine,9300,https://github.com/codota/TabNine
direnv,direnv,9300,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,9100,https://github.com/skywind3000/awesome-cheatsheets
rgcr,m-cli,9100,https://github.com/rgcr/m-cli
kanaka,mal,8800,https://github.com/kanaka/mal
alexanderepstein,Bash-Snippets,8800,https://github.com/alexanderepstein/Bash-Snippets
extrawurst,gitui,8600,https://github.com/extrawurst/gitui
