username,repo_name,stars,repo_url
CyC2018,CS-Notes,155000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,74400,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,48900,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,39100,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,38800,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,30200,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,25300,https://github.com/microsoft/calculator
huihut,interview,25200,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24700,https://github.com/CMU-Perceptual-Computing-Lab/openpose
carbon-language,carbon-lang,24600,https://github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,21100,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20400,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18200,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,17700,https://github.com/ethereum/solidity
microsoft,vcpkg,16400,https://github.com/microsoft/vcpkg
catchorg,Catch2,15400,https://github.com/catchorg/Catch2
gabime,spdlog,15200,https://github.com/gabime/spdlog
doocs,leetcode,15200,https://github.com/doocs/leetcode
AnthonyCalandra,modern-cpp-features,14500,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14300,https://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,13900,https://github.com/Qv2ray/Qv2ray
facebook,infer,13400,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12800,https://github.com/CoatiSoftware/Sourcetrail
antlr,antlr4,12700,https://github.com/antlr/antlr4
google,tink,12500,https://github.com/google/tink
kyleneideck,BackgroundMusic,11800,https://github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,11300,https://github.com/compiler-explorer/compiler-explorer
SFTtech,openage,11100,https://github.com/SFTtech/openage
polybar,polybar,11100,https://github.com/polybar/polybar
OpenRCT2,OpenRCT2,10800,https://github.com/OpenRCT2/OpenRCT2
