username,repo_name,stars,repo_url
Genymobile,scrcpy,68500,https://github.com/Genymobile/scrcpy
neovim,neovim,56500,https://github.com/neovim/neovim
git,git,43000,https://github.com/git/git
obsproject,obs-studio,40000,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,39100,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,31400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30900,https://github.com/FFmpeg/FFmpeg
vim,vim,28100,https://github.com/vim/vim
curl,curl,25900,https://github.com/curl/curl
huihut,interview,25200,https://github.com/huihut/interview
ggreer,the_silver_searcher,23900,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,19600,https://github.com/mpv-player/mpv
pbatard,rufus,19400,https://github.com/pbatard/rufus
ruby,ruby,19400,https://github.com/ruby/ruby
ossrs,srs,18800,https://github.com/ossrs/srs
google,flatbuffers,18400,https://github.com/google/flatbuffers
oracle,graal,17300,https://github.com/oracle/graal
radareorg,radare2,16700,https://github.com/radareorg/radare2
microsoft,vcpkg,16400,https://github.com/microsoft/vcpkg
kovidgoyal,kitty,15400,https://github.com/kovidgoyal/kitty
hashcat,hashcat,15100,https://github.com/hashcat/hashcat
shadowsocks,shadowsocks-libev,15000,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,15000,https://github.com/allinurl/goaccess
jarun,nnn,14600,https://github.com/jarun/nnn
TheAlgorithms,C,14100,https://github.com/TheAlgorithms/C
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13400,https://github.com/facebook/infer
qmk,qmk_firmware,12900,https://github.com/qmk/qmk_firmware
CoatiSoftware,Sourcetrail,12800,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,11600,https://github.com/s-matyukevich/raspberry-pi-os
