username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,28100,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19400,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,18500,https://github.com/refined-github/refined-github
darkreader,darkreader,14600,https://github.com/darkreader/darkreader
checkly,headless-recorder,14400,https://github.com/checkly/headless-recorder
unbug,codelf,13000,https://github.com/unbug/codelf
Anarios,return-youtube-dislike,9700,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9500,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8900,https://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8700,https://github.com/listen1/listen1_chrome_extension
dailydotdev,daily,7900,https://github.com/dailydotdev/daily
appbaseio,dejavu,7900,https://github.com/appbaseio/dejavu
alyssaxuu,screenity,7400,https://github.com/alyssaxuu/screenity
Kenshin,simpread,6100,https://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5200,https://github.com/ajayyy/SponsorBlock
AutomaApp,automa,5100,https://github.com/AutomaApp/automa
alyssaxuu,omni,5100,https://github.com/alyssaxuu/omni
dessant,buster,5000,https://github.com/dessant/buster
manojVivek,medium-unlimited,4900,https://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4400,https://github.com/webclipper/web-clipper
altair-graphql,altair,4300,https://github.com/altair-graphql/altair
zxlie,FeHelper,4200,https://github.com/zxlie/FeHelper
openstyles,stylus,4000,https://github.com/openstyles/stylus
PlasmoHQ,plasmo,4000,https://github.com/PlasmoHQ/plasmo
bilibili-helper,bilibili-helper-o,3800,https://github.com/bilibili-helper/bilibili-helper-o
hcfyapp,crx-selection-translate,3700,https://github.com/hcfyapp/crx-selection-translate
dejan,rails_panel,3700,https://github.com/dejan/rails_panel
ronggang,PT-Plugin-Plus,3600,https://github.com/ronggang/PT-Plugin-Plus
LasCC,Hack-Tools,3600,https://github.com/LasCC/Hack-Tools
honestbleeps,Reddit-Enhancement-Suite,3500,https://github.com/honestbleeps/Reddit-Enhancement-Suite
