username,repo_name,stars,repo_url
electron,electron,103000,https://github.com/electron/electron
puppeteer,puppeteer,79300,https://github.com/puppeteer/puppeteer
microsoft,playwright,40700,https://github.com/microsoft/playwright
FiloSottile,mkcert,36200,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,28100,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22100,https://github.com/ovity/octotree
jaywcjlove,linux-command,19400,https://github.com/jaywcjlove/linux-command
segmentio,nightmare,19300,https://github.com/segmentio/nightmare
checkly,headless-recorder,14400,https://github.com/checkly/headless-recorder
google,WebFundamentals,13400,https://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,https://github.com/prisma-archive/chromeless
casesandberg,react-color,10800,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10400,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9500,https://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8900,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8400,https://github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8100,https://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7900,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6700,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6200,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,6100,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5300,https://github.com/yujiosaka/headless-chrome-crawler
ajayyy,SponsorBlock,5200,https://github.com/ajayyy/SponsorBlock
moonD4rk,HackBrowserData,5100,https://github.com/moonD4rk/HackBrowserData
MontFerret,ferret,5100,https://github.com/MontFerret/ferret
alyssaxuu,omni,5100,https://github.com/alyssaxuu/omni
themerdev,themer,4800,https://github.com/themerdev/themer
browserless,chrome,4700,https://github.com/browserless/chrome
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
burtonator,polar-bookshelf,4500,https://github.com/burtonator/polar-bookshelf
