username,repo_name,stars,repo_url
ovity,octotree,22100,https://github.com/ovity/octotree
gitpod-io,gitpod,8700,https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,5300,https://github.com/reviewdog/reviewdog
danger,danger,4900,https://github.com/danger/danger
danger,danger-js,4500,https://github.com/danger/danger-js
joho,awesome-code-review,3500,https://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,https://github.com/microsoft/vscode-pull-request-github
mbj,mutant,1900,https://github.com/mbj/mutant
crev-dev,cargo-crev,1700,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1200,https://github.com/ryanmcdermott/code-review-tips
Tencent,CodeAnalysis,1200,https://github.com/Tencent/CodeAnalysis
bit4woo,python_sec,1100,https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1100,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,845,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,811,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,676,https://github.com/enlightn/enlightn
palantir,policy-bot,508,https://github.com/palantir/policy-bot
bsamseth,cpp-project,488,https://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,450,https://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,447,https://github.com/mookid/diffr
mgreiler,code-review-checklist,445,https://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,351,https://github.com/JetBrains/Qodana
wandersoncferreira,code-review,334,https://github.com/wandersoncferreira/code-review
dpnishant,raptor,330,https://github.com/dpnishant/raptor
sjparkinson,static-review,327,https://github.com/sjparkinson/static-review
burrito-brothers,shiba,291,https://github.com/burrito-brothers/shiba
charignon,github-review,286,https://github.com/charignon/github-review
watermelontools,wm-extension,276,https://github.com/watermelontools/wm-extension
