username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,148000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,46100,https://github.com/junegunn/fzf
sharkdp,bat,36100,https://github.com/sharkdp/bat
sherlock-project,sherlock,34600,https://github.com/sherlock-project/sherlock
google,zx,33500,https://github.com/google/zx
wagoodman,dive,33100,https://github.com/wagoodman/dive
BurntSushi,ripgrep,32400,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29900,https://github.com/chubin/cheat.sh
cli,cli,29400,https://github.com/cli/cli
jesseduffield,lazygit,28900,https://github.com/jesseduffield/lazygit
spf13,cobra,28000,https://github.com/spf13/cobra
angular,angular-cli,25600,https://github.com/angular/angular-cli
alebcay,awesome-shell,24300,https://github.com/alebcay/awesome-shell
sharkdp,fd,24000,https://github.com/sharkdp/fd
n8n-io,n8n,23800,https://github.com/n8n-io/n8n
ibraheemdev,modern-unix,23300,https://github.com/ibraheemdev/modern-unix
httpie,httpie,22900,https://github.com/httpie/httpie
google,python-fire,22800,https://github.com/google/python-fire
tqdm,tqdm,22600,https://github.com/tqdm/tqdm
vercel,pkg,21700,https://github.com/vercel/pkg
avajs,ava,19900,https://github.com/avajs/ava
withfig,autocomplete,19600,https://github.com/withfig/autocomplete
chalk,chalk,18900,https://github.com/chalk/chalk
vadimdemedes,ink,18900,https://github.com/vadimdemedes/ink
urfave,cli,18800,https://github.com/urfave/cli
svg,svgo,18000,https://github.com/svg/svgo
gpakosz,.tmux,17100,https://github.com/gpakosz/.tmux
asdf-vm,asdf,15200,https://github.com/asdf-vm/asdf
antonmedv,fx,15000,https://github.com/antonmedv/fx
allinurl,goaccess,15000,https://github.com/allinurl/goaccess
