username,repo_name,stars,repo_url
vercel,next.js,90600,https://github.com/vercel/next.js
rust-lang,rust,70300,https://github.com/rust-lang/rust
webpack,webpack,61500,https://github.com/webpack/webpack
sveltejs,svelte,61300,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,53300,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42300,https://github.com/JetBrains/kotlin
babel,babel,41200,https://github.com/babel/babel
parcel-bundler,parcel,41100,https://github.com/parcel-bundler/parcel
evanw,esbuild,32700,https://github.com/evanw/esbuild
vlang,v,30100,https://github.com/vlang/v
markedjs,marked,28000,https://github.com/markedjs/marked
carbon-language,carbon-lang,24600,https://github.com/carbon-language/carbon-lang
swc-project,swc,23200,https://github.com/swc-project/swc
vercel,pkg,21700,https://github.com/vercel/pkg
v8,v8,20000,https://github.com/v8/v8
ziglang,zig,16700,https://github.com/ziglang/zig
AssemblyScript,assemblyscript,14300,https://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13400,https://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13200,https://github.com/Konloch/bytecode-viewer
RustPython,RustPython,11800,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,11300,https://github.com/compiler-explorer/compiler-explorer
gopherjs,gopherjs,11300,https://github.com/gopherjs/gopherjs
apache,tvm,8400,https://github.com/apache/tvm
numba,numba,7700,https://github.com/numba/numba
Nuitka,Nuitka,7200,https://github.com/Nuitka/Nuitka
JetBrains,kotlin-native,7100,https://github.com/JetBrains/kotlin-native
aalhour,awesome-compilers,7000,https://github.com/aalhour/awesome-compilers
elm,compiler,6900,https://github.com/elm/compiler
DoctorWkt,acwj,6700,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5800,https://github.com/rescript-lang/rescript-compiler
