username,repo_name,stars,repo_url
localstack,localstack,42600,https://github.com/localstack/localstack
harness,drone,25500,https://github.com/harness/drone
jenkinsci,jenkins,19300,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12400,https://github.com/auchenberg/volkswagen
theonedev,onedev,9000,https://github.com/theonedev/onedev
openshift,origin,8200,https://github.com/openshift/origin
gocd,gocd,6500,https://github.com/gocd/gocd
concourse,concourse,6500,https://github.com/concourse/concourse
buildbot,buildbot,4900,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4700,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,https://github.com/Strider-CD/strider
jenkins-x,jx,4200,https://github.com/jenkins-x/jx
ovh,cds,3900,https://github.com/ovh/cds
xcpretty,xcpretty,3800,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3700,https://github.com/hygieia/hygieia
iterative,cml,3400,https://github.com/iterative/cml
cake-build,cake,3300,https://github.com/cake-build/cake
werf,werf,3300,https://github.com/werf/werf
JamesIves,github-pages-deploy-action,3100,https://github.com/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,3000,https://github.com/ligurio/awesome-ci
tox-dev,tox,2900,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2800,https://github.com/TheLartians/ModernCppStarter
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
shivammathur,setup-php,2200,https://github.com/shivammathur/setup-php
dreamans,syncd,2100,https://github.com/dreamans/syncd
Flagsmith,flagsmith,1800,https://github.com/Flagsmith/flagsmith
nuke-build,nuke,1600,https://github.com/nuke-build/nuke
lastbackend,lastbackend,1600,https://github.com/lastbackend/lastbackend
k1LoW,tbls,1400,https://github.com/k1LoW/tbls
FlowCI,flow-core-x,1400,https://github.com/FlowCI/flow-core-x
